,0,1,2
0,0.15686275,0.15686275,0.15686275
1,0.15294118,0.15294118,0.15294118
2,0.15686275,0.15686275,0.15686275
3,0.16078432,0.16078432,0.16078432
4,0.17254902,0.17254902,0.17254902
5,0.18039216,0.18039216,0.18039216
6,0.18431373,0.18431373,0.18431373
7,0.1882353,0.1882353,0.1882353
8,0.19215687,0.19215687,0.19215687
9,0.18039216,0.18039216,0.18039216
10,0.16862746,0.16862746,0.16862746
11,0.16862746,0.16862746,0.16862746
12,0.1764706,0.1764706,0.1764706
13,0.18039216,0.18039216,0.18039216
14,0.1764706,0.1764706,0.1764706
15,0.16862746,0.16862746,0.16862746
16,0.16862746,0.16862746,0.16862746
17,0.16862746,0.16862746,0.16862746
18,0.17254902,0.17254902,0.17254902
19,0.1764706,0.1764706,0.1764706
20,0.18039216,0.18039216,0.18039216
21,0.18431373,0.18431373,0.18431373
22,0.18431373,0.18431373,0.18431373
23,0.18431373,0.18431373,0.18431373
24,0.1764706,0.1764706,0.1764706
25,0.1882353,0.1882353,0.1882353
26,0.21176471,0.21176471,0.21176471
27,0.24313726,0.24313726,0.24313726
28,0.26666668,0.26666668,0.26666668
29,0.28235295,0.28235295,0.28235295
30,0.3019608,0.3019608,0.3019608
31,0.3137255,0.3137255,0.3137255
32,0.3254902,0.3254902,0.3254902
33,0.33333334,0.33333334,0.33333334
34,0.34509805,0.34509805,0.34509805
35,0.34901962,0.34901962,0.34901962
36,0.34901962,0.34901962,0.34901962
37,0.35686275,0.35686275,0.35686275
38,0.37254903,0.37254903,0.37254903
39,0.38431373,0.38431373,0.38431373
40,0.3647059,0.3647059,0.3647059
41,0.3647059,0.3647059,0.3647059
42,0.3764706,0.3764706,0.3764706
43,0.39215687,0.39215687,0.39215687
44,0.39215687,0.39215687,0.39215687
45,0.37254903,0.37254903,0.37254903
46,0.3647059,0.3647059,0.3647059
47,0.36862746,0.36862746,0.36862746
48,0.3882353,0.3882353,0.3882353
49,0.4,0.4,0.4
50,0.40784314,0.40784314,0.40784314
51,0.40392157,0.40392157,0.40392157
52,0.39607844,0.39607844,0.39607844
53,0.3882353,0.3882353,0.3882353
54,0.3882353,0.3882353,0.3882353
55,0.39215687,0.39215687,0.39215687
56,0.42745098,0.42745098,0.42745098
57,0.42745098,0.42745098,0.42745098
58,0.41960785,0.41960785,0.41960785
59,0.41568628,0.41568628,0.41568628
60,0.41960785,0.41960785,0.41960785
61,0.42745098,0.42745098,0.42745098
62,0.42352942,0.42352942,0.42352942
63,0.4117647,0.4117647,0.4117647
64,0.40392157,0.40392157,0.40392157
65,0.4,0.4,0.4
66,0.39607844,0.39607844,0.39607844
67,0.3882353,0.3882353,0.3882353
68,0.3882353,0.3882353,0.3882353
69,0.3882353,0.3882353,0.3882353
70,0.3882353,0.3882353,0.3882353
71,0.39215687,0.39215687,0.39215687
72,0.39607844,0.39607844,0.39607844
73,0.39607844,0.39607844,0.39607844
74,0.39607844,0.39607844,0.39607844
75,0.39215687,0.39215687,0.39215687
76,0.3882353,0.3882353,0.3882353
77,0.38039216,0.38039216,0.38039216
78,0.37254903,0.37254903,0.37254903
79,0.3647059,0.3647059,0.3647059
80,0.36862746,0.36862746,0.36862746
81,0.35686275,0.35686275,0.35686275
82,0.34117648,0.34117648,0.34117648
83,0.33333334,0.33333334,0.33333334
84,0.3372549,0.3372549,0.3372549
85,0.34117648,0.34117648,0.34117648
86,0.34509805,0.34509805,0.34509805
87,0.34509805,0.34509805,0.34509805
88,0.3254902,0.3254902,0.3254902
89,0.31764707,0.31764707,0.31764707
90,0.3254902,0.3254902,0.3254902
91,0.34117648,0.34117648,0.34117648
92,0.34117648,0.34117648,0.34117648
93,0.3254902,0.3254902,0.3254902
94,0.3137255,0.3137255,0.3137255
95,0.31764707,0.31764707,0.31764707
96,0.3019608,0.3019608,0.3019608
97,0.29411766,0.29411766,0.29411766
98,0.28627452,0.28627452,0.28627452
99,0.28627452,0.28627452,0.28627452
100,0.2901961,0.2901961,0.2901961
101,0.29803923,0.29803923,0.29803923
102,0.3019608,0.3019608,0.3019608
103,0.30588236,0.30588236,0.30588236
104,0.30980393,0.30980393,0.30980393
105,0.3137255,0.3137255,0.3137255
106,0.32156864,0.32156864,0.32156864
107,0.33333334,0.33333334,0.33333334
108,0.34117648,0.34117648,0.34117648
109,0.34509805,0.34509805,0.34509805
110,0.34117648,0.34117648,0.34117648
111,0.34117648,0.34117648,0.34117648
112,0.33333334,0.33333334,0.33333334
113,0.32156864,0.32156864,0.32156864
114,0.30980393,0.30980393,0.30980393
115,0.3137255,0.3137255,0.3137255
116,0.32941177,0.32941177,0.32941177
117,0.34509805,0.34509805,0.34509805
118,0.34901962,0.34901962,0.34901962
119,0.34901962,0.34901962,0.34901962
120,0.32941177,0.32941177,0.32941177
121,0.3254902,0.3254902,0.3254902
122,0.33333334,0.33333334,0.33333334
123,0.34509805,0.34509805,0.34509805
124,0.3529412,0.3529412,0.3529412
125,0.3529412,0.3529412,0.3529412
126,0.3647059,0.3647059,0.3647059
127,0.38039216,0.38039216,0.38039216
128,0.38039216,0.38039216,0.38039216
129,0.3764706,0.3764706,0.3764706
130,0.38039216,0.38039216,0.38039216
131,0.35686275,0.35686275,0.35686275
132,0.38039216,0.38039216,0.38039216
133,0.4,0.4,0.4
134,0.37254903,0.37254903,0.37254903
135,0.4117647,0.4117647,0.4117647
136,0.40784314,0.40784314,0.40784314
137,0.3882353,0.3882353,0.3882353
138,0.3764706,0.3764706,0.3764706
139,0.38039216,0.38039216,0.38039216
140,0.37254903,0.37254903,0.37254903
141,0.3529412,0.3529412,0.3529412
142,0.34509805,0.34509805,0.34509805
143,0.35686275,0.35686275,0.35686275
144,0.3529412,0.3529412,0.3529412
145,0.3529412,0.3529412,0.3529412
146,0.35686275,0.35686275,0.35686275
147,0.35686275,0.35686275,0.35686275
148,0.3529412,0.3529412,0.3529412
149,0.3529412,0.3529412,0.3529412
150,0.3529412,0.3529412,0.3529412
151,0.35686275,0.35686275,0.35686275
152,0.35686275,0.35686275,0.35686275
153,0.35686275,0.35686275,0.35686275
154,0.35686275,0.35686275,0.35686275
155,0.35686275,0.35686275,0.35686275
156,0.3647059,0.3647059,0.3647059
157,0.37254903,0.37254903,0.37254903
158,0.3764706,0.3764706,0.3764706
159,0.38039216,0.38039216,0.38039216
160,0.3764706,0.3764706,0.3764706
161,0.3882353,0.3882353,0.3882353
162,0.39215687,0.39215687,0.39215687
163,0.38039216,0.38039216,0.38039216
164,0.35686275,0.35686275,0.35686275
165,0.34901962,0.34901962,0.34901962
166,0.35686275,0.35686275,0.35686275
167,0.37254903,0.37254903,0.37254903
168,0.36862746,0.36862746,0.36862746
169,0.3647059,0.3647059,0.3647059
170,0.35686275,0.35686275,0.35686275
171,0.35686275,0.35686275,0.35686275
172,0.36862746,0.36862746,0.36862746
173,0.3882353,0.3882353,0.3882353
174,0.39215687,0.39215687,0.39215687
175,0.38431373,0.38431373,0.38431373
176,0.38039216,0.38039216,0.38039216
177,0.3882353,0.3882353,0.3882353
178,0.38431373,0.38431373,0.38431373
179,0.3764706,0.3764706,0.3764706
180,0.3764706,0.3764706,0.3764706
181,0.39215687,0.39215687,0.39215687
182,0.39607844,0.39607844,0.39607844
183,0.39215687,0.39215687,0.39215687
184,0.3882353,0.3882353,0.3882353
185,0.38431373,0.38431373,0.38431373
186,0.38431373,0.38431373,0.38431373
187,0.3882353,0.3882353,0.3882353
188,0.39215687,0.39215687,0.39215687
189,0.39607844,0.39607844,0.39607844
190,0.3882353,0.3882353,0.3882353
191,0.38039216,0.38039216,0.38039216
192,0.37254903,0.37254903,0.37254903
193,0.37254903,0.37254903,0.37254903
194,0.3764706,0.3764706,0.3764706
195,0.38431373,0.38431373,0.38431373
196,0.39215687,0.39215687,0.39215687
197,0.39607844,0.39607844,0.39607844
